0:0:0:0:0:0:0:1 - - [05/May/2025:05:36:39 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:36:39 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [05/May/2025:05:36:39 -0700] "GET /Online_Hotel_Reservation_System/Images/Tendura%201.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [05/May/2025:05:40:04 -0700] "POST /Online_Hotel_Reservation_System/insert HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [05/May/2025:05:40:05 -0700] "POST /Online_Hotel_Reservation_System/insert HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [05/May/2025:05:40:05 -0700] "POST /Online_Hotel_Reservation_System/insert HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [05/May/2025:05:40:05 -0700] "POST /Online_Hotel_Reservation_System/insert HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [05/May/2025:05:40:08 -0700] "POST /Online_Hotel_Reservation_System/insert HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:29 -0700] "POST /Online_Hotel_Reservation_System/insert HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:29 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:30 -0700] "POST /Online_Hotel_Reservation_System/insert HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:31 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:31 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:31 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:31 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:33 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 53260711
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:36 -0700] "GET /Online_Hotel_Reservation_System/Images/Tendura%201.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:36 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:36 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:36 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:36 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:36 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:36 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 28750247
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:38 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:41 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:41 -0700] "GET /Online_Hotel_Reservation_System/Images/Tendura%201.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [05/May/2025:05:41:41 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
